date;dca;dva (no withdraw);dva (crypto ptf + cash);lump-sum;lump-sum mid-year
01-01-2019;50;50;50;2600;0
02-01-2019;51;51;51;2668;0
03-01-2019;50;50;50;2595;0
04-01-2019;50;50;50;2610;0
05-01-2019;50;50;50;2601;0
06-01-2019;53;53;53;2758;0
07-01-2019;52;52;52;2723;0
08-01-2019;102;100;100;2727;0
09-01-2019;103;100;100;2730;0
10-01-2019;93;91;91;2489;0
11-01-2019;94;91;91;2494;0
12-01-2019;93;91;91;2477;0
13-01-2019;90;88;88;2403;0
14-01-2019;94;92;92;2507;0
15-01-2019;142;150;150;2456;0
16-01-2019;143;151;151;2472;0
17-01-2019;144;152;152;2488;0
18-01-2019;143;151;151;2474;0
19-01-2019;146;154;154;2522;0
20-01-2019;141;149;149;2436;0
21-01-2019;140;148;148;2419;0
22-01-2019;191;200;200;2438;0
23-01-2019;190;199;199;2425;0
24-01-2019;191;200;200;2436;0
25-01-2019;191;200;200;2435;0
26-01-2019;191;200;200;2437;0
27-01-2019;190;199;199;2424;0
28-01-2019;184;193;193;2348;0
29-01-2019;233;250;250;2333;0
30-01-2019;236;253;253;2358;0
31-01-2019;234;251;251;2339;0
01-02-2019;236;253;253;2359;0
02-02-2019;238;255;255;2382;0
03-02-2019;234;251;251;2343;0
04-02-2019;234;251;251;2340;0
05-02-2019;284;300;300;2345;0
06-02-2019;280;295;295;2309;0
07-02-2019;279;294;294;2300;0
08-02-2019;301;317;317;2480;0
09-02-2019;301;318;318;2483;0
10-02-2019;303;319;319;2496;0
11-02-2019;299;316;316;2468;0
12-02-2019;350;350;350;2471;0
13-02-2019;347;348;348;2457;0
14-02-2019;346;346;346;2447;0
15-02-2019;346;347;347;2449;0
16-02-2019;347;348;348;2455;0
17-02-2019;351;352;352;2485;0
18-02-2019;375;375;375;2649;0
19-02-2019;428;400;400;2670;0
20-02-2019;433;405;405;2706;0
21-02-2019;428;401;401;2675;0
22-02-2019;434;406;406;2710;0
23-02-2019;449;420;420;2802;0
24-02-2019;413;386;386;2578;0
25-02-2019;421;393;393;2627;0
26-02-2019;468;450;450;2607;0
27-02-2019;467;450;450;2605;0
28-02-2019;468;450;450;2608;0
01-03-2019;468;451;451;2611;0
02-03-2019;469;451;451;2614;0
03-03-2019;467;449;449;2602;0
04-03-2019;456;439;439;2545;0
05-03-2019;523;500;500;2636;0
06-03-2019;524;501;501;2641;0
07-03-2019;525;502;502;2646;0
08-03-2019;523;501;501;2639;0
09-03-2019;532;509;509;2681;0
10-03-2019;530;507;507;2673;0
11-03-2019;524;501;501;2642;0
12-03-2019;574;550;550;2644;0
13-03-2019;574;550;550;2643;0
14-03-2019;577;552;552;2655;0
15-03-2019;582;557;557;2679;0
16-03-2019;595;570;570;2739;0
17-03-2019;591;566;566;2723;0
18-03-2019;592;567;567;2728;0
19-03-2019;648;600;600;2754;0
20-03-2019;651;602;602;2765;0
21-03-2019;642;594;594;2726;0
22-03-2019;641;593;593;2722;0
23-03-2019;643;595;595;2730;0
24-03-2019;640;593;593;2721;0
25-03-2019;631;584;584;2681;0
26-03-2019;684;650;650;2696;0
27-03-2019;702;667;667;2765;0
28-03-2019;699;664;664;2753;0
29-03-2019;704;668;668;2772;0
30-03-2019;705;670;670;2778;0
31-03-2019;705;670;670;2777;0
01-04-2019;714;678;678;2813;0
02-04-2019;888;796;796;3301;0
03-04-2019;905;811;809;3364;0
04-04-2019;896;803;802;3330;0
05-04-2019;917;822;818;3407;0
06-04-2019;921;825;822;3423;0
07-04-2019;946;848;842;3517;0
08-04-2019;963;863;855;3578;0
09-04-2019;997;849;846;3521;0
10-04-2019;1020;868;863;3602;0
11-04-2019;970;826;826;3426;0
12-04-2019;975;830;829;3443;0
13-04-2019;977;831;830;3448;0
14-04-2019;990;843;841;3496;0
15-04-2019;971;826;826;3428;0
16-04-2019;1053;854;896;3542;0
17-04-2019;1056;857;898;3553;0
18-04-2019;1066;864;906;3584;0
19-04-2019;1067;865;906;3588;0
20-04-2019;1074;871;912;3611;0
21-04-2019;1069;867;908;3595;0
22-04-2019;1086;881;921;3652;0
23-04-2019;1171;909;947;3769;0
24-04-2019;1148;891;931;3697;0
25-04-2019;1095;850;892;3525;0
26-04-2019;1109;861;903;3571;0
27-04-2019;1107;859;901;3564;0
28-04-2019;1111;862;904;3575;0
29-04-2019;1103;856;898;3550;0
30-04-2019;1174;900;997;3620;0
01-05-2019;1186;909;1006;3655;0
02-05-2019;1208;926;1023;3724;0
03-05-2019;1266;970;1068;3902;0
04-05-2019;1280;981;1078;3945;0
05-05-2019;1272;975;1072;3921;0
06-05-2019;1261;967;1064;3888;0
07-05-2019;1329;981;1078;3943;0
08-05-2019;1364;1006;1103;4047;0
09-05-2019;1408;1039;1134;4177;0
10-05-2019;1455;1073;1167;4315;0
11-05-2019;1643;1212;1302;4874;0
12-05-2019;1590;1173;1264;4717;0
13-05-2019;1782;1314;1401;5287;0
14-05-2019;1873;1345;1431;5408;0
15-05-2019;1923;1380;1457;5550;0
16-05-2019;1848;1326;1417;5334;0
17-05-2019;1721;1235;1349;4968;0
18-05-2019;1704;1223;1340;4919;0
19-05-2019;1921;1379;1456;5545;0
20-05-2019;1869;1342;1429;5397;0
21-05-2019;1916;1339;1481;5387;0
22-05-2019;1848;1292;1443;5195;0
23-05-2019;1896;1326;1470;5332;0
24-05-2019;1922;1343;1484;5403;0
25-05-2019;1937;1354;1493;5447;0
26-05-2019;2087;1459;1574;5867;0
27-05-2019;2119;1481;1592;5957;0
28-05-2019;2148;1467;1581;5899;0
29-05-2019;2133;1457;1573;5858;0
30-05-2019;2049;1399;1530;5628;0
31-05-2019;2112;1442;1562;5800;0
01-06-2019;2110;1440;1561;5793;0
02-06-2019;2154;1471;1583;5914;0
03-06-2019;2022;1381;1516;5553;0
04-06-2019;1949;1296;1631;5214;0
05-06-2019;1978;1316;1648;5293;0
06-06-2019;1977;1316;1648;5291;0
07-06-2019;2034;1353;1681;5441;0
08-06-2019;2011;1338;1667;5381;0
09-06-2019;1944;1293;1628;5201;0
10-06-2019;2023;1346;1674;5412;0
11-06-2019;2054;1333;1681;5363;0
12-06-2019;2111;1370;1714;5510;0
13-06-2019;2133;1384;1726;5568;0
14-06-2019;2253;1462;1796;5881;0
15-06-2019;2290;1487;1818;5979;0
16-06-2019;2331;1513;1842;6084;0
17-06-2019;2415;1568;1891;6305;0
18-06-2019;2403;1528;1855;6143;0
19-06-2019;2454;1560;1882;6273;0
20-06-2019;2521;1602;1917;6445;0
21-06-2019;2684;1706;2001;6862;0
22-06-2019;2832;1800;2078;7239;0
23-06-2019;2873;1826;2099;7343;0
24-06-2019;2914;1852;2121;7449;0
25-06-2019;3170;1983;2228;7976;0
26-06-2019;3500;2189;2363;8805;0
27-06-2019;3007;1881;2161;7565;0
28-06-2019;3336;2087;2296;8393;0
29-06-2019;3215;2012;2247;8090;0
30-06-2019;2908;1819;2121;7317;0
01-07-2019;2845;1780;2095;7159;0
02-07-2019;2954;1817;2278;7307;0
03-07-2019;3271;2012;2423;8091;0
04-07-2019;3067;1886;2330;7587;0
05-07-2019;3003;1847;2300;7427;0
06-07-2019;3065;1885;2329;7582;0
07-07-2019;3132;1926;2359;7746;0
08-07-2019;3360;2067;2464;8311;0
09-07-2019;3489;2115;2500;8506;2600
10-07-2019;3373;2045;2453;8223;2514
11-07-2019;3152;1911;2364;7684;2349
12-07-2019;3279;1987;2415;7993;2443
13-07-2019;3161;1916;2368;7707;2356
14-07-2019;2846;1725;2241;6938;2121
15-07-2019;3023;1833;2313;7370;2253
16-07-2019;2680;1594;2550;6411;1960
17-07-2019;2741;1631;2583;6558;2004
18-07-2019;3016;1794;2731;7215;2206
19-07-2019;2977;1771;2711;7124;2178
20-07-2019;3044;1811;2747;7284;2226
21-07-2019;2997;1783;2721;7170;2192
22-07-2019;2924;1740;2682;6997;2139
23-07-2019;2849;1665;2614;6698;2047
24-07-2019;2824;1650;2601;6637;2029
25-07-2019;2853;1667;2616;6705;2050
26-07-2019;2841;1660;2610;6677;2041
27-07-2019;2728;1594;2550;6411;1960
28-07-2019;2749;1607;2562;6462;1975
29-07-2019;2740;1601;2556;6439;1968
30-07-2019;2815;1616;2664;6499;1987
31-07-2019;2955;1696;2741;6823;2085
01-08-2019;3047;1749;2792;7035;2150
